symbol_id,symbol,fiscal_date_ending,report_type,reported_currency,gross_profit,total_revenue,cost_of_revenue,cost_of_goods_and_services_sold,operating_income,selling_general_and_administrative,research_and_development,operating_expenses,investment_income_net,net_interest_income,interest_income,interest_expense,non_interest_income,other_non_operating_income,depreciation,depreciation_and_amortization,income_before_tax,income_tax_expense,interest_and_debt_expense,net_income_from_continuing_operations,comprehensive_income_net_of_tax,ebit,ebitda,net_income,api_response_status,created_at,updated_at
3082,VCYT,2012-06-30,quarterly,USD,0.0,2479000.0,2651000.0,2651000.0,0.0,5359000.0,1677000.0,0.0,,,,0.0,,,,,0.0,0.0,,0.0,,0.0,,0.0,pass,2025-08-05 10:26:49.295979,2025-08-05 10:26:49.295979
6410,CABO,2014-12-31,quarterly,USD,122412000.0,201468000.0,79056000.0,79056000.0,44406000.0,45837000.0,0.0,78006000.0,,,,16090000.0,,,,32169000.0,43449000.0,16557000.0,,147309000.0,,-30747000.0,1422000.0,26892000.0,pass,2025-08-05 00:15:27.685690,2025-08-05 00:15:27.685690
9427,ISSC,2005-12-31,quarterly,USD,2703369.0,5405387.0,2702018.0,2702018.0,-728468.0,1896836.0,1535000.0,3431837.0,,,,43512.0,,,,201838.0,9465.0,3340.0,,0.0,,-728468.0,-526630.0,6125.0,pass,2025-08-05 11:15:00.068725,2025-08-05 11:15:00.068725
2907,UP,2022-12-31,quarterly,USD,12630000.0,408257000.0,395627000.0,395627000.0,-103928000.0,53331000.0,14804000.0,116558000.0,,-5457000.0,2058000.0,7515000.0,,,,19074000.0,-239245000.0,-335000.0,,-238910000.0,,-302135000.0,-283061000.0,-238910000.0,pass,2025-08-04 23:32:25.828550,2025-08-04 23:32:25.828550
17623,AED,,quarterly,,,,,,,,,,,,,,,,,,,,,,,,,,error,2025-08-05 00:00:08.930606,2025-08-05 00:00:08.930606
7333,AMGN,2011-06-30,quarterly,USD,3357000000.0,3959000000.0,602000000.0,602000000.0,1332000000.0,1130000000.0,819000000.0,2025000000.0,,,,122000000.0,,129000000.0,,73000000.0,1339000000.0,169000000.0,,1170000000.0,,1332000000.0,1405000000.0,1170000000.0,pass,2025-08-05 11:18:48.012207,2025-08-05 11:18:48.012207
6181,BWBBP,2019-12-31,quarterly,USD,20440000.0,28531000.0,8091000.0,8091000.0,9951000.0,6235000.0,,10489000.0,,,,7491000.0,,,,394000.0,9951000.0,1380000.0,,,,9951000.0,10345000.0,8571000.0,pass,2025-08-05 09:27:04.447038,2025-08-05 09:27:04.447038
1532,LKFN,2012-09-30,quarterly,USD,27246000.0,33746000.0,6500000.0,6500000.0,14087000.0,8569000.0,0.0,13159000.0,,,,6500000.0,,,,898000.0,14087000.0,4740000.0,,9347000.0,,14087000.0,14985000.0,9347000.0,pass,2025-08-05 11:22:37.434813,2025-08-05 11:22:37.434813
8725,HES,2022-06-30,quarterly,USD,2141000000.0,2955000000.0,814000000.0,814000000.0,1200000000.0,95000000.0,,971000000.0,,-121000000.0,121000000.0,121000000.0,,,,391000000.0,1082000000.0,328000000.0,,754000000.0,,1202000000.0,1593000000.0,667000000.0,pass,2025-08-05 09:10:01.648265,2025-08-05 09:10:01.648265
11137,FITBP,2023-12-31,annual,USD,7907000000.0,12355000000.0,4448000000.0,4448000000.0,2988000000.0,2988000000.0,,4919000000.0,,5988000000.0,9188000000.0,3933000000.0,,,,462000000.0,2988000000.0,639000000.0,,2556000000.0,,2988000000.0,3450000000.0,2349000000.0,pass,2025-08-05 10:56:02.224143,2025-08-05 10:56:02.224143
