symbol_id,symbol,date,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient,created_at,updated_at
9228,HCWB,2025-02-14,0.42,0.43,0.38,0.4001,16.004,675386,0.0,1.0,2025-07-09 12:06:02.396280,2025-07-09 12:06:02.396280
4294,WGO,2006-09-25,30.79,31.69,30.77,31.47,25.3254,374100,0.0,1.0,2025-07-09 09:53:28.104454,2025-07-09 09:53:28.104454
221,PCAR,2019-02-01,65.51,65.88,64.75,64.96,34.1359,2019021,0.0,1.0,2025-07-09 11:42:00.001947,2025-07-09 11:42:00.001947
2258,MTB,2024-06-13,142.51,143.42,141.58,143.0,138.3596,844228,0.0,1.0,2025-07-09 08:53:29.403848,2025-07-09 08:53:29.403848
643,NVS,2011-08-16,55.71,56.4,55.38,55.81,33.4923,2438100,0.0,1.0,2025-07-09 09:00:10.088825,2025-07-09 09:00:10.088825
10180,ESNT,2019-05-06,48.07,48.88,47.1,48.71,43.5789,691583,0.0,1.0,2025-07-09 09:06:01.486348,2025-07-09 09:06:01.486348
10544,DXR,2005-06-09,20.52,20.95,20.52,20.95,14.4665,3200,0.0,1.0,2025-07-09 11:48:49.414378,2025-07-09 11:48:49.414378
2958,USEG,2004-02-06,3.09,3.19,3.08,3.1,174.643,7700,0.0,1.0,2025-07-09 11:48:11.191548,2025-07-09 11:48:11.191548
2487,NETD,2024-02-27,10.471,10.48,10.46,10.46,10.46,771830,0.0,1.0,2025-07-09 11:22:41.325625,2025-07-09 11:22:41.325625
4430,SBAC,2023-08-07,223.24,223.94,218.91,220.11,212.3402,766154,0.0,1.0,2025-07-09 10:45:54.303576,2025-07-09 10:45:54.303576
3448,TTMI,2005-03-01,10.8,11.12,10.8,11.0,11.0,237400,0.0,1.0,2025-07-09 11:29:32.736363,2025-07-09 11:29:32.736363
244,PEG,2002-04-19,46.3,46.45,46.01,46.33,9.304,434700,0.0,1.0,2025-07-09 10:17:30.048455,2025-07-09 10:17:30.048455
6343,CDP,2025-04-21,26.12,26.25,25.7,26.03,25.7453,736857,0.0,1.0,2025-07-09 09:45:59.684133,2025-07-09 09:45:59.684133
4689,RITM,2018-05-18,18.04,18.07,17.97,18.06,8.8423,1534419,0.0,1.0,2025-07-09 08:40:47.878983,2025-07-09 08:40:47.878983
2188,MVSTW,2021-11-17,2.17,2.35,2.01,2.03,2.03,161549,0.0,1.0,2025-07-09 11:33:50.168474,2025-07-09 11:33:50.168474
7984,BETRW,2024-12-16,0.095,0.1,0.095,0.1,0.1,250,0.0,1.0,2025-07-09 11:05:04.120677,2025-07-09 11:05:04.120677
2979,UFPI,2017-06-30,87.23,87.9399,86.73,87.31,26.717,78491,0.0,1.0,2025-07-09 11:47:38.975785,2025-07-09 11:47:38.975785
7642,AB,2009-04-29,15.54,17.22,15.07,16.99,4.6869,1681700,0.0,1.0,2025-07-09 10:00:37.837379,2025-07-09 10:00:37.837379
10677,EGP,2004-06-09,31.9,32.1,31.7,31.78,14.0795,37900,0.0,1.0,2025-07-09 09:16:15.643472,2025-07-09 09:16:15.643472
7398,ARKO,2024-11-29,7.27,7.29,7.155,7.16,7.0639,203300,0.0,1.0,2025-07-09 11:25:57.560922,2025-07-09 11:25:57.560922
4455,SAR,2016-04-15,16.24,16.486,16.21,16.22,6.7111,3992,0.0,1.0,2025-07-09 09:45:03.719005,2025-07-09 09:45:03.719005
6942,COO,2011-08-09,64.44,68.63,62.77,68.62,17.087,876300,0.0,1.0,2025-07-09 12:52:27.803252,2025-07-09 12:52:27.803252
3368,THC,2005-07-13,12.34,12.35,11.98,12.15,48.6,3913200,0.0,1.0,2025-07-09 10:15:22.941117,2025-07-09 10:15:22.941117
2247,MVIS,2014-06-06,1.96,2.0,1.87,1.94,1.94,1294400,0.0,1.0,2025-07-09 12:01:38.979083,2025-07-09 12:01:38.979083
5692,SONO,2019-09-26,13.86,13.9,13.12,13.44,13.44,2435989,0.0,1.0,2025-07-09 11:06:28.642133,2025-07-09 11:06:28.642133
17015,CSR,2012-05-21,7.16,7.23,7.15,7.18,36.0386,224100,0.0,1.0,2025-07-09 08:52:01.203962,2025-07-09 08:52:01.203962
4534,SHG,2018-05-14,45.04,45.35,45.0,45.2,37.4233,57808,0.0,1.0,2025-07-09 09:06:36.278726,2025-07-09 09:06:36.278726
10827,GBLI,2004-06-21,15.09,15.81,14.92,14.92,22.6227,30200,0.0,1.0,2025-07-09 09:47:18.180205,2025-07-09 09:47:18.180205
6797,DPZ,2010-01-04,8.53,8.68,8.41,8.68,6.9746,401300,0.0,1.0,2025-07-09 11:01:17.754599,2025-07-09 11:01:17.754599
4552,SIGIP,2022-07-14,18.75,18.75,18.72,18.75,15.4311,3521,0.0,1.0,2025-07-09 11:54:25.654421,2025-07-09 11:54:25.654421
2302,MUR,2023-07-11,39.64,40.785,39.41,40.58,37.8298,1460801,0.0,1.0,2025-07-09 08:59:31.428263,2025-07-09 08:59:31.428263
7834,AEP,2024-07-25,95.86,97.315,95.18,95.84,92.3948,3340161,0.0,1.0,2025-07-09 11:37:50.983155,2025-07-09 11:37:50.983155
8509,BCLI,2016-09-16,2.45,2.65,2.45,2.59,38.85,217154,0.0,1.0,2025-07-09 10:52:53.264715,2025-07-09 10:52:53.264715
7318,ALTO,2017-03-17,6.6,6.88,6.5,6.8,6.8,2007226,0.0,1.0,2025-07-09 10:56:38.164832,2025-07-09 10:56:38.164832
